year;white;white_elo;black;black_elo;result;eco;moves
2024;Caruana;2805;Carlsen;2831;Empate;B22;1.e4 c5 2.Nf3 e6 3.c3 d5 4.exd5 exd5 5.d4 Nf6 6.Bb5+ Bd7 7.Bxd7+ Nbxd7 8.0-0 Be7
2024;Nepomniachtchi;2755;Carlsen;2831;Empate;C55;1.e4 e5 2.Nf3 Nc6 3.Bc4 Be7 4.d3 Nf6 5.0-0 0-0 6.Nbd2 d6 7.a4 a5 8.Re1 Be6
2024;Carlsen;2831;Nepomniachtchi;2755;Empate;D02;1.d4 Nf6 2.Bf4 d5 3.e3 e6 4.Nf3 c5 5.Be2 Qb6 6.b3 Bd6 7.dxc5 Qxc5 8.Bxd6 Qxd6
2024;Nepomniachtchi;2755;Carlsen;2831;Empate;B31;1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.0-0 Bg7 5.Re1 e5 6.Bxc6 dxc6 7.d3 Qe7 8.a4 Nf6
2024;Carlsen;2831;Nepomniachtchi;2755;Derrota;C11;1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Nce2 c5 6.c3 Nc6 7.a3 a5 8.Nf3 a4
2024;Nepomniachtchi;2755;Carlsen;2831;Derrota;A28;1.c4 e5 2.Nc3 Nf6 3.Nf3 Nc6 4.e3 d5 5.cxd5 Nxd5 6.Bb5 Nxc3 7.bxc3 Bd6 8.d4 Qf6
2024;Carlsen;2831;Nepomniachtchi;2755;Vitoria;B22;1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 Nf6 5.Nf3 e6 6.Be2 Nc6 7.0-0 cxd4 8.cxd4 Be7
2024;Nepomniachtchi;2755;Carlsen;2831;Vitoria;B31;1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.0-0 Bg7 5.Re1 e5 6.Bxc6 dxc6 7.d3 Qe7 8.a4 Nf6
2024;Firouzja;2763;Carlsen;2831;Empate;C67;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.0-0 Nxe4 5.d4 Nd6 6.dxe5 Nxb5 7.a4 Nbd4 8.Nxd4 d5
2024;Carlsen;2831;Nepomniachtchi;2755;Empate;C01;1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d3 Nf6 6.d4 d5 7.Bd3 Bd6 8.Qe2+ Be6
2024;Carlsen;2831;Duda;2740;Vitoria;B22;1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 e6 5.d4 cxd4 6.Bc4 Nb6 7.Bb3 dxc3 8.Nxc3 d5
2024;Duda;2740;Carlsen;2831;Vitoria;A50;1.Nf3 Nf6 2.c4 b6 3.g3 Bb7 4.Bg2 g6 5.d4 Bg7 6.0-0 0-0 7.Qc2 c5 8.d5 b5
2024;Carlsen;2831;Duda;2740;Vitoria;D02;1.d4 Nf6 2.Bf4 d5 3.e3 c5 4.c3 Nc6 5.Nd2 e6 6.Ngf3 Bd6 7.Bg3 0-0 8.Bb5 Ne7
