year;white;white_elo;black;black_elo;result;eco;moves
2024;Caruana;2805;Carlsen;2831;Empate;B22;1.e4 c5 2.Nf3 e6 3.c3 d5 4.exd5 exd5 5.d4 Nf6 6.Bb5+ Bd7 7.Bxd7+ Nbxd7 8.0-0 Be7
2024;Caruana;2805;Erigaisi;2801;Vitoria;C11;1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Nce2 c5 6.c3 Nc6 7.Nf3 Be7 8.g3 b5
2024;Firouzja;2763;Caruana;2805;Vitoria;B33;1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Nd5 Nxd5 8.exd5 Nb8
2024;Nepomniachtchi;2755;Caruana;2805;Derrota;A28;1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.e3 Bb4 5.Qc2 Bxc3 6.Qxc3 Qe7 7.a3 0-0 8.b4 d5
2024;Caruana;2805;Aronian;2747;Empate;C47;1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6 4.d4 exd4 5.Nxd4 Nxe4 6.Nxe4 Qe7 7.Bd3 Nxd4 8.0-0
2024;So;2747;Caruana;2805;Empate;E32;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Qc2 0-0 5.e4 d5 6.e5 Ne4 7.Bd3 c5 8.cxd5 exd5
2024;Caruana;2805;Duda;2740;Empate;C65;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.Bxc6 dxc6 6.Nbd2 Be6 7.0-0 Bd6 8.Nb3 b6
2024;Duda;2740;Caruana;2805;Derrota;B45;1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Bc5 6.Nb3 Bb4 7.Bd2 Nf6 8.Bd3 0-0
2024;Duda;2740;Caruana;2805;Derrota;A15;1.Nf3 Nf6 2.c4 b6 3.g3 Bb7 4.Bg2 g6 5.b3 Bg7 6.Bb2 0-0 7.0-0 d6 8.d4 Nbd7
2024;Caruana;2805;Dominguez Perez;2741;Empate;C65;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.d3 Bc5 5.Bxc6 dxc6 6.Nbd2 Nd7 7.Nc4 0-0 8.0-0 Re8
2024;Niemann;2734;Caruana;2805;Vitoria;B30;1.e4 c5 2.Nf3 Nc6 3.Bb5 e6 4.0-0 Nge7 5.Re1 Nd4 6.Nxd4 cxd4 7.c3 a6 8.Bd3 Nc6
2024;Murzin;2664;Caruana;2805;Empate;C67;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.0-0 Nxe4 5.Re1 Nd6 6.Nxe5 Be7 7.Bf1 Nxe5 8.Rxe5 0-0
2024;Giri;2678;Caruana;2766;Empate;A46;1.Nf3 Nf6 2.g3 b5 3.Bg2 Bb7 4.d4 e6 5.Bg5 Be7 6.Qd3 a6 7.Nbd2 d6 8.0-0 Nbd7
2024;Cheparinov;2646;Caruana;2805;Vitoria;A05;1.Nf3 Nf6 2.g3 b5 3.Bg2 Bb7 4.d3 e6 5.e4 d6 6.0-0 Be7 7.Qe2 0-0 8.Re1 c5
2024;Caruana;2805;Shankland;2672;Vitoria;B92;1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 a6 6.Be2 e5 7.Nb3 Be7 8.Qd3 Be6
2024;Dominguez Perez;2741;Caruana;2796;Empate;B31;1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.Bxc6 bxc6 5.0-0 Bg7 6.Re1 Nf6 7.e5 Nd5 8.b3 0-0
2024;So;2751;Caruana;2796;Empate;D38;1.d4 Nf6 2.Nf3 e6 3.c4 d5 4.Nc3 Bb4 5.Qb3 c5 6.dxc5 Nc6 7.Bg5 Qa5 8.Bxf6 dxc4
