year;white;white_elo;black;black_elo;result;eco;moves
2024;Ding;2728;Gukesh;2783;Vitoria;D02;1.Nf3 d5 2.g3 c5 3.Bg2 Nc6 4.d4 e6 5.0-0 cxd4 6.Nxd4 Nge7 7.c4 Nxd4 8.Qxd4 Nc6
2024;Gukesh;2783;Ding;2728;Empate;C11;1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.Nce2 c5 6.c3 Nc6 7.a3 Be7 8.Be3 Nb6
2024;Ding;2728;Gukesh;2783;Derrota;A13;1.c4 e6 2.g3 d5 3.Bg2 Nf6 4.Nf3 d4 5.0-0 Nc6 6.e3 Be7 7.d3 dxe3 8.Bxe3 e5
2024;Gukesh;2783;Ding;2728;Vitoria;A09;1.Nf3 d5 2.c4 d4 3.b4 c5 4.e3 Nf6 5.a3 Bg4 6.exd4 cxd4 7.h3 Bxf3 8.Qxf3 Qc7
2024;Ding;2728;Gukesh;2783;Empate;D37;1.d4 Nf6 2.Nf3 d5 3.Bf4 e6 4.e3 c5 5.Be2 Bd6 6.dxc5 Bxc5 7.c4 0-0 8.0-0 Nc6
2024;Gukesh;2783;Ding;2728;Empate;E11;1.d4 Nf6 2.c4 e6 3.g3 Bb4+ 4.Bd2 Be7 5.Bg2 d5 6.Nf3 0-0 7.0-0 c6 8.Qc2 Nbd7
2024;Ding;2728;Gukesh;2783;Empate;A21;1.c4 e5 2.Nc3 Bb4 3.Nd5 Be7 4.Nf3 d6 5.g3 c6 6.Nxe7 Nxe7 7.Bg2 f6 8.0-0 Be6
2024;Gukesh;2783;Ding;2728;Empate;D78;1.Nf3 d5 2.g3 g6 3.d4 Bg7 4.c4 c6 5.Bg2 Nf6 6.0-0 0-0 7.Re1 dxc4 8.e4 Bg4
2024;Ding;2728;Gukesh;2783;Empate;D02;1.d4 Nf6 2.Bf4 d5 3.e3 e6 4.Nf3 c5 5.c3 Bd6 6.Bb5+ Nc6 7.Bxc6+ bxc6 8.Bxd6 Qxd6
2024;Gukesh;2783;Ding;2728;Empate;B22;1.e4 e6 2.d4 d5 3.exd5 exd5 4.Nf3 Nf6 5.Bd3 c5 6.c3 c4 7.Bc2 Bd6 8.Qe2+ Qe7
2024;Ding;2728;Gukesh;2783;Empate;A06;1.Nf3 d5 2.e3 Nf6 3.b3 Bf5 4.Be2 h6 5.Ba3 Nbd7 6.0-0 e6 7.Bxf8 Nxf8 8.c4 N8d7
2024;Gukesh;2783;Ding;2728;Vitoria;D35;1.d4 Nf6 2.Nf3 d5 3.c4 e6 4.cxd5 exd5 5.Nc3 c6 6.Qc2 g6 7.h3 Bf5 8.Qb3 Qb6
2024;Ding;2728;Gukesh;2783;Empate;C50;1.e4 e5 2.Nf3 Nc6 3.Bc4 Bc5 4.d3 Nf6 5.Nc3 a6 6.a4 d6 7.0-0 h6 8.Be3 Be6
2024;Gukesh;2783;Ding;2728;Derrota;C11;1.e4 e6 2.d4 d5 3.Nc3 Nf6 4.e5 Nfd7 5.f4 c5 6.Nce2 Nc6 7.c3 a5 8.Nf3 a4
2024;Gukesh;2794;Vidit;2726;Empate;A28;1.c4 Nf6 2.Nc3 e5 3.Nf3 Nc6 4.Qc2 g6 5.g3 Bg7 6.Bg2 0-0 7.0-0 d6 8.d3 Bg4
2024;Andreikin;2729;Gukesh;2794;Derrota;D38;1.d4 Nf6 2.Nf3 e6 3.c4 d5 4.Nc3 Bb4 5.Qb3 c5 6.dxc5 Nc6 7.Bg5 Qa5 8.Bxf6 dxc4
2024;Gukesh;2764;Caruana;2798;Vitoria;E01;1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Nc6 5.Nf3 Rb8 6.cxd5 Bb4+ 7.Nc3 exd5 8.Bg5 h6
2024;Gukesh;2764;Abdusattorov;2766;Empate;B90;1.e4 c5 2.Nf3 d6 3.Nc3 Nf6 4.d4 cxd4 5.Nxd4 a6 6.a4 e5 7.Nf3 Be7 8.g3 Be6
2024;Gukesh;2764;Wei;2762;Vitoria;B50;1.e4 c5 2.Nf3 d6 3.Nc3 Nf6 4.Be2 e5 5.Bc4 Be7 6.d3 Nc6 7.Bg5 0-0 8.Bxf6 Bxf6
2024;Eljanov;2672;Gukesh;2794;Empate;D37;1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 h6 5.e3 b6 6.cxd5 exd5 7.Qa4+ Bd7 8.Qc2 Bd6
2024;Maghsoodloo;2723;Gukesh;2764;Vitoria;D33;1.d4 d5 2.c4 e6 3.Nc3 c5 4.cxd5 exd5 5.Nf3 Nf6 6.g3 Nc6 7.Bg2 cxd4 8.Nxd4 Bc5
2024;Caruana;2793;Gukesh;2766;Empate;C55;1.e4 e5 2.Nf3 Nc6 3.Bc4 Nf6 4.d3 a6 5.0-0 h6 6.c3 d6 7.Re1 g5 8.Na3 Bg7
2024;Rapport;2715;Gukesh;2764;Empate;C67;1.e4 e5 2.Nf3 Nc6 3.Bb5 Nf6 4.0-0 Nxe4 5.Re1 Nd6 6.Nxe5 Be7 7.Bf1 Nxe5 8.Rxe5 0-0
2024;Gukesh;2766;So;2751;Empate;E21;1.d4 Nf6 2.c4 e6 3.Nc3 Bb4 4.Nf3 c5 5.dxc5 Na6 6.Bd2 Nxc5 7.e3 Bxc3 8.Bxc3 Nce4
2024;Abdusattorov;2762;Gukesh;2766;Empate;C84;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.d3 b5 6.Bb3 Be7 7.a4 Rb8 8.axb5 axb5
2024;Giri;2746;Gukesh;2766;Empate;C77;1.e4 e5 2.Nf3 Nc6 3.Bb5 a6 4.Ba4 Nf6 5.0-0 Be7 6.d3 b5 7.Bb3 0-0 8.Nc3 d6
2024;Gukesh;2766;Nepomniachtchi;2767;Empate;E04;1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3 Nc6 6.Qa4 Bb4+ 7.Bd2 Nd5 8.0-0 Bxd2
